Arabic_Names,English_Names
محمد قطامش,Mohammed Qatamish
زاهية ايوب,Bright Ayub
احمد صادق,Ahmed Sadek
 نادية أبو السعود,Nadia Abou El Soud
عبدالفتاح غبن,Abdel Fattah Ghoban
سهام فتحي,Siham Fathy
رؤوف عبدالخالق,Raouf Abdul Khaliq
ناهد صبري,Nahed Sabri
عاطف رزق,Atef Rizk
أحمد بكر,Ahmed Bakr
سامي سرحان,Sami Sarhan
سلمان الجوهر,Salman al-Jawhar
امال حسن,Amal Hassan
فاروق محمود,Farouk Mahmoud
على زكائي,On my answer
سمير احمد عارف,Samir Ahmed Aref
سعدي يونس,Saadi Younis
دنيا فريد,Donia Farid
كريم عواد,Karim Awad
مكي البدري,Makki Al - Badri
فوزية خضر,Fawzia Khader
ليلى انور,Laila Anwar
خديجة محمد,Khadija Mohammed
شويكار بغدادي,Shweikar Baghdadi
جوهرة غريب,A strange jewel
امال صادق,Amal Sadek
أحمد راضي,Ahmed Radi
كوثر حمدي,Kawther Hamdi
فايزة فؤاد,Fayza Fouad
آمال يسري,Amal Yusri
سمير ولي الدين,Samir Wali El Din
قدرية عسكر,Kadriya Askar
ناهد كمال,Nahed Kamal
محب كاسر,Lover lover
حسن المليجي,Hassan El Meligy
فلمون وهبي,The Movie
نادية حمدي,Nadia Hamdy
صباح العمري,Sabah al - Amri
محمد الصعيدي,Mohammed Al-Saeedi
قاسم حمية,Qassim Diet
محمود النمير,Mahmoud Al-Nimeer
فوزي الكيالي,Fawzi al-Kayali
إبراهيم مرعشلي,Ibrahim Maraashly
أبو سليم الطبل,Abu Salim Al-Tabl
يسرا البدوية,Yosra Bedouin
اسعد سعيد,Asaad Saeed
محمد سلطان,Mohammed Sultan
صلاح جاهين,Salah Jahine
بدر الدين جمجوم,Badr al - Din Jamjoom
كرستينا هيلين,Christina Helen
ملكة الايراني,Queen of Iran
نادية كامل,Nadia Kamel
خيرية صدقي,Charity charity
جمال إسماعيل,Jamal Ismail
منى سرحان,Mona Sarhan
شهاب نسيم,Shehab Nasim
ليلى صبرى,Laila Sabry
نوال أبو الفتوح,Nawal Abou El - Fotouh
حسين الحلوانى,Hussein Al-Halawani
فافى,Fafi
سهام سامى,Samy arrows
سامية أحمد,Samia Ahmed
حسين عيد,Hussein Eid
صالح العويل,Saleh Al-Awail
إبراهيم فتيحة,Ibrahim Fteihah
هدى فريد,Hoda Farid
مصطفى الشريف,Mostafa El Sherif
وردة,A rose
محمود مصطفى,Mahmoud Mustafa
فهيم سليمان,Fahim Solomon
ليلى مرسي,Laila Morsi
سمير عارف,Samir Aref
عمرو الترجمان,Amr El Torgoman
حسين السيد,Hussein Al Sayed
صلاح موسى,Salah Musa
يوسف حسني,Yousef Hosni
عزت العلايلي,Izzat al-Alaily
اشجان,Ashjan
سمير الصبان,Samir Al-Sabban
كوثر العسال,Kawther al-Assal
صلاح قابيل,Salah Cain
نبيل منيب,Nabil Mounib
خديجة محمود,Khadija Mahmoud
سيدة إسماعيل,Lady Ismail
منير التوني,Munir Al-Tuni
سناء الباروني,Sana Baroni
فاروق نجيب,Farouk Najib
محمد العزبي,Mohamed El Ezby
حسن عفيفي,Hassan Afifi
هناء الشوربجي,Hana El Shorbagy
زيزى رضا,Zizi Reda
سميرة تيسير,Samira Tayseer
ماجدة رامز,Magda Ramez
نيفين رامز,Neven Rames
ليلى مجدي,Laila Magdy
سونا علم الدين,Souna Alam El Din
مصطفى شميس,Mustafa Shmeis
إلهام شوقي,Elham Shawky
كامل أبو السعود,Kamel Abu Al-Saud
إبراهيم كامل,Ibrahim Kamel
سهيل كنعان,Suhail Canaan
صلاح عطية,Salah Attieh
لولا علم الدين,Without religion
محسن عطية,Mohsen Attieh
وحيد جلال,Wahid Jalal
جوليا ضو,Julia Dou
كوستي,Costy
اماليا عوض,Amalia Awad
مارون مراد,Maroun Murad
سمير معلوف,Samir Maalouf
عبدالمحسن نجاد,Abdul Mohsen Nejad
نوال بدر,Nawal Badr
ملفينا أمين,Melina Amin
طارق كمال إسماعيل,Tariq Kamal Ismail
حمدي فريد,Hamdi Farid
علوية مصطفى,Alawi Mustafa
حياة قنديل,Life of Qandil
عايدة عبدالعزيز,Aida Abdulaziz
ناظم الغزالي,Nazem al-Ghazali
حسن علاء الدين (شوشو),Hassan Alaeddin (Shoshu)
فهد بلان,Fahd Blan
شفيق حسن,Shafiq Hassan
صابر أبو لبن,Saber Abu Laban
محمد شامل,Mohammed Shamil
أنور إسماعيل,Anwar Ismail
كمال عباس,Kamal Abbas
ليلى النحاس,Layla Al-Nahas
إيهاب نافع,Ihab Nafea
فاتن الشوباشي,Faten Al-Shobashi
عاطف مكرم,Atef Makram
فريدة فهيم,Farid Fahim
سهير زكي,Suheir Zaki
سميرة محسن,Samira Mohsen
يكن حسين,Jake Hussein
سميرة توفيق,Samira Tawfik
نصير قرطباوي,Nasir Qartbawi
بهية أمير,Bahia Amir
محمود مرسي,Mahmoud Morsi
علية عبدالمنعم,عليه عبدالمنعم
فاتن أنور,Faten Anwar
ليلى شعير,Laila Shaer
الضيف أحمد,Guest Ahmed
جان سعادة,Jean Saadeh
عُليّة التونسية,Attieh of Tunisia
رضا علي,Reza Ali
نصري شمس الدين,Nasri Shams El Din
داني طبارة,Danny Tabbara
توفيق مظهر,Tawfiq Mazhar
زينب جادو,Zainab Jado
سهير مجدي,Suheir Majdy
نجيب وهبة,Naguib Wahba
احمد حسن,Ahmed Hassan
سعاد محمود,Soad Mahmoud
الهام محمد,Elham Mohamed
نجوى محمد,Najwa Mohammed
حسام الدين مصطفى,Hossam El Din Mostafa
عبدالله مراد,Abdullah Murad
سيد غنيم,Sayed Ghneim
منى السعيد,Mona Al Saeed
عنايات يوسف,Anayat Yousef
سعاد عبدالله,Soad Abdullah
علي مصطفى,Ali Mustafa
باهر السيد,Mr. Baher
حسن حسني,Hassan Hosni
غريب محيي الدين,Ghareeb Mohieddin
ممدوح زايد  ,Mamdouh Zayed
نوال  الصغيرة,Small Nawal
بسمة,Smile
محمود الحديني,Mahmoud Al-Hedini
ابتسام عبدالعزيز,Abtisam Abdul Aziz
سمسم,sesame
ليلى نصر,Laila Nasr
أحمد توفيق,Ahmed Tawfik
مصطفى عبدالله,Mustafa Abdullah
محمود رشاد,Mahmoud Rashad
أحمد نبيل,Ahmed Nabil
جورج سيدهم,George Sidham
سمير غانم,Samir Ghanem
أسامة رؤوف,Osama Rauf
عبدالوهاب الدوكالي,Abdul Wahab Doukali
مديحة حمدي,Madiha Hamdy
مهجة عسكر,Mahja Askar
ماريز,Marys
بثينة سالم,Buthaina Salem
حسني خضر,Hosny Khader
فاروق فلوكس,Farouk Flux
عبدالرحمن العربي,Abdul Rahman Al Arabi
إيناس عبدالله,Inas Abdullah
فوقية منصور,Top Mansour
إيشيهارا يوجيرو,Ishihara Yogiro
إيزومي أيشكاوا,Izumi Aishkawa
محمد عبدالجواد,Mohammed Abdul Jawad
سامى لطفى,Sami Lotfy
إحسان صادق,Ihsan Sadiq
خالد قرانوح,Khaled Kranouh
زين الصيداني,Zain al-Sidani
رندة,Randa
موفق بهجت,Muwafaq Bahgat
نعيمة الإسكندراني,Naima of Alexandria
سمير شمص,Samir Shams
أحمد بديعة,Ahmed Badia
وئام الصعيدي,Wael Al Saidi
كلير سعد,Claire Saad
كواكب,Planets
برنار مسكاوي,Bernard Maskawi
افهام السيد,Mr
سامي مقصود,Sami Maqsoud
سهيل نعماني,Suhail Nomani
حسن مصطفى,Hassan Mostafa
باهر سليم,Baher Slim
مديحة عبدالحليم,Madiha Abdel Halim
أبو الفتوح عمارة,Abou El Fotouh Architecture
إبراهيم الباجوري,Ibrahim Al - Bagouri
الهام شريف,Elham Sherif
 نبيل ميشيل ,Nabil Michel
نيللي كامل,Nelly Kamel
منى مراد,Mona Mourad
هالة الشواربي,Hala Al - Shawrabi
كمال انور,Kamal Anwar
ناصر ضياء الدين,Nasser Ziauddin
عدوية الجمال,The beauty of beauty
فيفي فهيم,Fifi Fahim
جاذبية حجازي,The gravity of Hijazi
عثمان العوضى,Othman Al Awadi
منصور الجوهري,Mansour Al Gohary
عبدالمجيد نصر,Abdulmajid Nasr
عادل هاشم,Adel Hashem
حسين الشربيني,Hussein Al Sherbini
شاهيناز طه (شاهيناز),Shahinaz Taha (Shahinaz)
محمد حبشي,Mohamed Habashi
لويس يوسف,Louis Joseph
عصام الشناوي,Essam El Shennawy
صبري عياد,Sabri Ayad
سمير ابوالسعد,Samir Abu Al-Saad
منير معاصري,Mounir Maasri
محمدين,Mohammadine
محسن السمراني,Mohsen Alsamrani
نوال فهمي,Nawal Fahmy
سهيل تلحوق,Suhail Talhouq
مديحة كامل,Madiha Kamel
ايمان رفعت,Iman Refaat
سمية غنيم,Sumaya Ghonaim
تينا,Tina
جمال شبل,Gamal Shabel
صفاء الشامي,Safa El Shami
رياض غلمية,Riad Gholmieh
شفيق هاشم,Shafiq Hashim
سميرة بارودي,Samira Baroudi
رشيد علامة,Rachid Alamah
شارل كريمونا,Charles Cremona
صالح مشلاوي,Saleh Mashlawi
نجا نصار,Nassar survived
وطفى,Lotfi
إلياس رزق,Elias Rizk
منصور جابر,Mansour Jaber
سامي طموم,Sami Tamoum
عصام بهيج,Essam Bahij
طه إسماعيل,Taha Ismail
محمد لطيف,Mohamed Latif
حنفي بسطان,Hanafi Bastan
احمد صالح,Ahmed Saleh
حمدى فراج,Hamdy Farraj
حمادة إمام,Hamada Imam
انور صالح,Anwar Saleh
رأفت عطيه,Raafat Attieh
حسن الشاذلي,Hassan Shazly
محمد رفاعى,Mohamed Rifai
نجيب المستكاوى,Naguib Almstakawi
محمد الجندى,Mohamed El Gendy
خضر,green
عبده نصحى,Abdo Nashey
مصطفى رياض,Mostafa Riad
ريعو,Reyo
محمد بدوى,Mohammed Badawi
رفعت الفناجيلي,Rifat al-Fanajili
مفيد فوزي,مفيد فوزي
محمد يحيى,Mohammad Yahya
علي محسن,Ali Muhsen
إسلام فارس,Islam Fares
محمد شريف,Mohammed Sherif
مرسي الحطاب,Mursi the woodcutter
سعد الغزاوي,Saad Al-Ghazzawi
عبدالمنعم أبو الفتوح,Abdul Moneim Abul Fotouh
فؤاد رضا,Fouad Reza
فؤاد شافعي,Fouad Shafei
سلامة عوض,Salama Awad
سامي محمودي,Sami Mahmoudi
محسن المليجى,Mohsen Almeleiji
رجائى,Rajai
آمال شريف,Amal Sharif
وجيه صدقي,Wajee Sedqi
نيللى محمود,Nelly Mahmoud
فكتوريا كوهين,Victoria Cohen
آن سميرنر,Anne Smirner
عادل بدر الدين,Adel Badr El Din
عادل إمام,Adel Emam
احمد عز الدين,Ahmed Ezz El Din
فؤاد الألفي,Fouad Al - Alfi
فؤاد عطية,Fouad Attieh
نبيل الهجرسي,Nabil Al-Hajri
محسن طنطاوى,Mohsen Tantawy
رجاء جاد,Please serious
صفاء حمدي,Safa Hamdi
فريال كريم,Ferial Cream
عيسى النحاس,Issa Al-Nahas
جلال وجدي,Jalal Wagdy
ديب صابات,Deep Babes
ماريا كاريرياسي,Maria Carreriasi
ميادة,Mayada
ميرفت خطاب,Mervat Khattab
زكريا موافي,Zakaria Mawafi
سامي عطايا,Sami Ataya
عدنان طرابلسي,Adnan Traboulsi
هلال يوسف,Hilal Yousef
علي العطار,Ali Al Attar
رامز زيات,Ramez Zayat
صبحي عبدالصمد,Sobhi Abdel-Samad
عبدالغني الشيخ,Abdul Ghani Al-Sheikh
زقزوق البيروتي,Pheromone zigzag
وداد جبور,Wadad Jabbour
نايفة المشلاوي,Nayefah Mashlawi
وفاء طربيه,Wafa Tarabieh
حسين خضر,Hussein Khader
فاروق العباسى,Farouk Al Abbasi
رجاء صادق,Please be honest
زهور,Flowers
ملك سكر,King of sugar
نجوى يونس,Najwa Younis
فريال حمادة,Ferial Hamada
جلال حسن,Jalal Hassan
مارسيل خياط,Marcel Khayat
شاكر عيساوي,Shaker Issawi
عزيزة,Aziza
عيسى ديب,Issa Dib
سوسن مفرج,Sawsan Mufraj
دياب الحاج,Diab El Hajj
ناهد شوران,Nahed Shouran
لطفي زيني,Lotfi Zinni
مياده,Mya
مصطفى رشوان,Mostafa Rashwan
صفاء أبو السعود,Safaa Abu Al Saud
نعيمة أحمد,Naima Ahmed
سيف الله مختار,Saif Allah Mukhtar
الفونس ميخائيل,Alphonse Michael
سهير المرشدي,Suheir Al-Morshedi
فيفي عبده,Fifi Abdo
حليم يوسف,Halim Youssef
إيمان ربيع,Faith Spring
صفاء مجدي,Safa Magdy
منير ياسين,Mounir Yassin
جلال المصري,Jalal Al-Masri
محسن حافظ,Mohsen Hafez
عزت المشد,عزت المشد
علي محيي الدين,Ali Mohieddin
نبيلة أباظة,Nabila Abaza
عقيلة أمين,Aqila Amin
إيلي شويري,Eli Choueiri
جوزيف ناصيف,Joseph Nassif
فيلمون وهبي,Filmon Wahbi
جوزيف عازار,Joseph Azar
سلوى حداد,Salwa Haddad
ميشال حاج,Michel Haj
وليم حسواني,William Hassouani
هدى حداد,Hoda Haddad
سعاد كريم,Soad Karim
سامية محمد,Samia Mohammed
خيرى فرج,Khairy Faraj
احمد رشوان,Ahmed Rashwan
فادية عكاشة,Fadia Okasha
إيناس محمد,Inas Mohammed
رفعت حبيب,Rifaat Habib
علي الجندي,Ali the soldier
حمدي مرسي,Hamdi Morsi
مصطفى صادق,Mustafa Sadek
شريف يحيى,Sharif Yahya
شريف زهير,Sherif Zuhair
مجدي حسن,Magdy Hassan
ميشيل فؤاد,Michel Fouad
سمير ماهر,Samir Maher
فيفي شحاته,Vivi Shehata
فيفي حجاج,Fifi Hajjaj
فكري طه,Think Taha
نجده علي,We find him
نبيل عباس,Nabil Abbas
محيي زكي,Mohi Zaki
جاذبية فؤاد,The attraction of Fouad
علي العطيفي,Ali al-Atifi
ليلى كمال,Laila Kamal
سامية شكري,Samia Shukri
محمود النادي,Mahmoud the club
علي زيوار,Ali Zewar
عبدالحميد عثمان,Abdul Hamid Osman
وجيه عزت,Wajih Ezzat
كريمان الشوربجي,Kryman Shorbagy
سمير قطب,Samir Qutb
تغريد البشبيشي,Taghreed Albashbishi
ليلى حليم,Laila Halim
أمل سكر,Amal Sugar
كاريمان حليم,Cariman Halim
رياض المغربل,Riad al-Maghrabil
مجدى حافظ,Magdy Hafez
مجدي أبو عميرة,Magdy Abou Amira
عماد الدين أديب,Emad Eddin Adib
مصطفى عبدالعزيز,Mostafa Abdel Aziz
دريد لحام,Duraid Lahham
نهاد قلعي,Nihad Qali
حنا المعلوف,Hanna Al-Maalouf
صفوح الشربجي,Sufouh Al Sharbaji
ماروشكا,Marushka
سامي قدوحة,Sami Kadouha
ليلى منسي,Laila Mansi
ليلى فاضل,Laila Fadel
نجود زاهر,Nujood Zaher
كرم مطاوع,Karam Mutawea
هاني شاكر,Hani Shaker
أشرف السلحدار,Ashraf AlShelhdar
مديحة وجدي,Madiha Wagdy
فاروق هلال,Farouk Hilal
سمورة,Samura
مائدة نزهت,The table is finished
غاده سالم,Ghada Salem
سعيد العجلاوى,Saeed Al Ajlawi
جمعة الشبلي,Jumaa Al Shibli
عباس جمعة,Abbas Gomaa
خوله عبدالرحمن,Sheikh Abdul Rahman
خليل الرفاعي,Khalil al-Rifai
فاروق  فياض,Farouk Fayyad
سمير القاضي,Samir al-Qadi
السيد راضي,Mr. Radi
سلوى فؤاد,Salwa Fouad
نوال هاشم,Nawal Hashim
كلتوم,Caltom
محمد شويخ,Mohammed Shuwaikh
حسن حسانى,Hassan Hassany
طيان,Tayan
مصطفى كاتب,Mustafa is a writer
بوغرير احمد,Bougher Ahmed
تانيا تمقاد,Tania is blessed
كلثوم,Kalthoum
حمدي أحمد,Hamdi Ahmed
هدى الجزائرية,Hoda Aljazeera
أبو لبن,Abu Laban
أبو الطول,Abu al-Tall
أبو شوقي,Abu Shawki
أورسولا فرانكي,Ursula Frankie
تمام إبراهيم,Tammam Ibrahim
أحمد ماهر تيخة,Ahmed Maher Tekha
سمير النحاس,Samir Al Nahas
محمود مكين,Mahmoud Makin
امين صبرى,Amin Sabry
مصطفى سراج الدين,Mostafa Serageldin
فاروق السيد,Farouk El Sayed
حامد محمود,Hamed Mahmoud
محمد محمود,Mohamed Mahmoud
علي جوهر,Ali Jowhar
نادية سيف النصر,Nadia Saif Al Nasr
محمد الدوكش,Mohammed Aldoqsh
عزيزة يونس,Aziza Younis
غازي جرمانوس,Ghazi Germanus
ميشلين ضو,Michelin Dou
عبدالنبى المغربى,Abdelnabi El Maghraby
جان مارتن,Jean Martin
ياسف سعدي,Saad Saadi
فوزية القادر,Fawzia Alkader
إبراهيم حجايج,Ibrahim Hajaj
توما سونيري,Thomas Sonny
ميشيل كرباش,Michel Kerbash
محمد بن قاسم,Mohammed bin Qasim
أوجوباليتى,Ojubaletti
قوسيا الحضر,Quasi urban
بيري نافع,Berry Nafi
فاضل فريد,Fadel Farid
فادية احمد,Fadia Ahmed
إبراهيم زاده,Ibrahim Zadeh
رضوان حافظ,Radwan Hafez
محمود أبو زيد,Mahmoud Abu Zeid
حمدي سالم,Hamdi Salem
محمد خليل,Mohammed Khalil
سيفدا نور,Sefda Nour
أورغن غوكنار,Orgen Göckner
لطفي أنجان,Lotfi Anjan
جيزيل نصر,Giselle Nasr
محمد خير حلواني,Mohamed Khair Halawani
باكلان الجان,Paclan Elves
عليا رونا,Alya Rona
‫ابراهيم ديليدينز‬,Ibrahim Delidens
مهتيريم نور    ,Mahtirim Nour
سونا بيكوسال,Sona Piccall
آيلا ألجان,Ayla Allan
منال وحيد,Manal Wahid
مصطفى هاشم,Mustafa Hashem
فاطمة مصطفى,Fatima Mustafa
طارق الخوام,Tarek Al-Khawam
محسن الصفتي,Mohsen Safti
حسن حسين,Hassan Hussein
عبدالعزيز مكيوي,Abdul Aziz Mekky
أشرف عبدالغفور,Ashraf Abdul Ghafour
نبيلة صقر,Nabila Saqr
رؤوف مصطفى,Raouf Mostafa
أحمد حسين,Ahmed Hussein
محمود راشد,Mahmoud Rashed
فاروق الحكيم,Farouk Al Hakim
سيف النصر أبو العلا,Saif El Nasr Abou El Ela
أحمد سامي,Ahmad Sami
هالة فؤاد,Hala Fouad
كوثر شريف,Kawther Sharif
عادل عوض,Adel Awad
عاطف عوض,Atef Awad
علاء عوض,Alaa Awad
ليونى ليون,Leonie Lyon
محمد نوح,Mohamed Noah
امال سامى,Amal Samy
مارسيل مارينا,Marcel Marina
صلاح تيزاني,Salah Tizani
عاصي الرحباني,Assi Rahbani
عبدالله حمصي,Abdullah Homsi
إيلي صنيفر,Eli Sanifer
برج فازيليان,Vazilian Tower
محمود مبسوط,Mahmoud Mbesout
ليلى كرم,Laila Karam
جوزيف نانو,Joseph Nano
أحمد خليفة,Ahmed Khalifa
عادل الشناوي,Adel El Shennawy
علا رامي,Ola Rami
عبداللطيف التلباني,Abdul Latif Al-Talbani
سيد الملاح,Master of the navigator
سعيدة جلال,Happy Jalal
فريال حسين,Ferial Hussein
جمال الوحش,Beauty monster
كمال عبدالعاطى,Kamal Abdel Aaty
فؤاد دسوقى,Fouad Desouki
فرانسوا إبراهيم,Francois Ibrahim
بديع صليب,Badi Cross
إبراهيم عرايس,Ibrahim Arais
وحيد شوقي,Wahid Shawky
نفرتيتى,Nefertiti
اميمة كامل,Omayma Kamel
عصام الحلبي,Essam Al - Halabi
أحمد فؤاد حسن,Ahmed Fouad Hassan
لطيفة توفيق,Latifa Tawfiq
عبدالمنعم حسن,Abdel Moneim Hassan
راقية حسن,Upscale good
ببا السيد,Mr
فاروق مصطفى,Farouk Mostafa
عادل مراد,Adel Murad
علياء نمري,Alia Nimri
طلال مداح,Talal Maddah
هند طاهر,Hind Taher
علياء فخري,Alia Fakhri
هاشم قنوع,Hashim is surprised
ريمون زكى,Raymond Zaki
ندى,Nada
ايفا,Eva
قمر,Moon
عبداللطيف فتحي,Abdul Latif Fathi
تغريد,twitter
عماد فريد,Emad Farid
أحمد الصوص,Ahmed Alsous
أمين حمدان,Amin Hamdan
ايلي عجيل,By Elie Agil
الأمين عبدالله,Secretary Abdullah
مراد سليمان,Murad Suleiman
زياد مكوك,Ziad Makouk
مروان محفوظ,Marwan Mahfouz
مارى إليكس,Mary Alex
قاسم حول,Kassem Hawal
فاضل خليل,Fadel Khalil
زينب,Zaynab
سليمة خضير,Salima Khudair
نعيمة البدري ,Naima Al - Badri
عبدالجبار عباس,Abdul Jabbar Abbas
فارس خليل شوقي ,Fares Khalil Shawky
عبدالله نجيب,Abdullah Najeeb
أحمد حجازي,Ahmed Hegazy
جلال غنيم,Jalal Ghunaim
أحمد قاسم,Ahmed Kassem
سعاد أبوالحسن,Souad Abou El Hassan
خضره محمد خضر,Khadra Mohammed Khader
ناهد يسري,Nahed Yousry
عادل نصيف,Adel Nasif
أيناس أنور,Anas Anwar
نبوية سعيد,Happy Prophecy
أحمد مرعي,Ahmed Mari
إنعام الجريتلي,Inam al-Gritli
أمال مراد,Amal Murad
شوقى شفيق,Shawky Shafiq
أمال عفيش,Amal Afish
ابو تامر,Abu Tamer
برلنتى فؤاد,Fouad Fouad
محمد كريم,Mohammed Kareem
عبدالله تيمور,Abdullah Timur
مارينا,Marina
صابر سعيد,Saber Said
حسين عرابى,Hussein Orabi
صادق أحمد,Sadiq Ahmed
سوسو علي,Soso Ali
حلمي بكر,Helmi Bakr
سهير سامي,Suhair Sami
محمد البشاري,Mohammed Al - Bishari
سليم حانا,Salim Hanna
صباح فخري,Sabah Fakhry
مظهر الحكيم,Appearance wise
شفيق المنفلوطي,Shafiq Manfalouti
عبدالرحمن آل رشي,Abdulrahman Al-Rashi
عمر حجو,Omar Hijjou
أنور المرابط,Anwar Almroubat
كوكب جمال,Planet of beauty
رضوان الساطى,Radwan Al - Shati
أحمد طرابيشي,Ahmed Tarabishi
فايزة الشاويش,Fayza Al - Shawish
شاكر بريخان,Shaker Prekhan
زياد مولوي,Ziad Mawlawi
أبو النور,Abu alnoor
ماجد أفيوني,Majid Avioni
أبو عبد البيروتى,Abu Abd al-Barouti
عبدالكريم عواد,Abdul Karim Awad
محمد شمعة,Mohamed Shamaa
فاروق عبدالجواد,Farouk Abdul Jawad
خضر ناصر الدين,Khader Nasser Aldin
زكي حمود,Zaki Hammoud
حسن بنات,Good Girls
سمير أبو سعيد,Samir Abu Said
سعيد صالح,Said Saleh
سيد زيان,Mr. Xian
وسيلة حسين,Waseela Hussein
السيد منير,Mr. Mounir
عزة فؤاد,Azza Fouad
محمد السقا,Mohamed El Sakka
صلاح السعدني,Salah al - Saadani
نجلاء فتحي,Najlaa fat&#39;he
أميرة,Princess
يوسف شرف الدين,Youssef Sharaf El Din
إيلي شماس,Eli Shammas
كارول دولاب,Carol Dulab
ايجور فلادميروف,Igor Vladmirov
فلاديمير ايفاشوف,Vladimir Ivashov
سيف عبدالرحمن,Saif Abdul Rahman
ديورى كاميرونى,Diori Cameroni
فاليريا ايفاشكوف,Valeria Ivashkov
اسفتلاناشجون,Aftelanashjon
عبدالمجيد براقه,Abdulmajeed Burqa
محمد مرشد,Mohamed Morshed
مبروكه,Congratulations
اينافيودوروفا,Enavyodorova
مشيرة إسماعيل,She said
ماهر السيد,Maher El Sayed
عصمت عباس,Ismat Abbas
حسن موسى,Hassan Musa
رشدي ياقوت,Rushdie Sapphire
سلوى ذكائي,Salwa is smart
علي سلطان,Ali Sultan
أنطون غطاس,Anton Ghattas
حسن توتالة,Good tone
محمود كامل,Mahmoud Kamel
محمد الأمين,Mohamed El Amin
بثينة عبدالغني السيد,Buthaina Abdel Ghani El Sayed
عبدالله يوسف,Abdullah Youssef
أمينة الشريعي,Amina Al-Sharaie
ميرفت أمين,Mervat Amin
رهام مظهر,Reham appearance
ملك اسماعيل,King of Ismail
ليلى الشقراء,Laila Blonde
سناء ماهر,Sana Maher
منى قطان,Mona Kattan
أحمد عمار,Ahmed Ammar
تيريز,Therese
فوقية عامر,Superman
سيد مندولين,Mr. Mandolin
عبدالله شماس,Abdullah Shammas
محمد الدكش (محمد الدوكش),Mohammed Al-Dakhsh (Mohammad Al-Duqash)
كريم أبو شقرا,Karim Abu Chakra
سامى ديب,Samy Deb
رامز سلمان,Ramez Salman
فاروق جواد,Farouk Jawad
عادل غانم,Adel Ghanem
ريم سلمان,Reem Salman
خضر نصر الدين,Khader Nasr El Din
علي شمس الدين,Ali Shams El Din
بشارة صوايا,Bishara Sawaya
جان فرحات,Jean Farhat
نعيم شاهين,Naeem Shaheen
محمد نور الدين,Mohamed Nour El Din
علي الحلو,Ali Helou
أحمد سلطان,Ahmed Sultan
ميراندا,Miranda
ليلى عز الدين,Laila Ezz El Din
زيزى محمد,Zizi Mohamed
جوزيان فؤاد,Joziane Fouad
مديحة عبدالوهاب,Madiha Abdel Wahab
برجيت,Burget
بريجيت عمر,Brigitte Omar
جمال حسني,Gamal Hosni
حميدة موسى,Hamida Mousa
عايدة الشريف,Aida Sharif
عبدالمنعم النمر,Abdel Moneim El Nemer
احمد شمس الدين,Ahmed Shams El Din
أنجيل آرام,Angel Aram
هوليا كوشيت,Holly Kushit
مراد سويدان,Murad Sweidan
محمود ياسين,Mahmoud Yassin
عصمت بكر,Ismat Bakr
محيي الدين عبدالمحسن,Mohieddin Abdelmohsen
منى سليم,Mona Slim
منير جارودي,Mounir Jaroudi
أحمد دنش,Ahmed Densh
فاطمة خانجي,Fatima Khanji
فؤاد ضاهر,Fouad Daher
أمل صادر,Amal Sader
الياس أبو حبيب,Elias Abou Habib
خليل صليبي,Khalil Salibi
نجوى الموجي,Najwa Al - Moji
جيرمين صباغ,Jermaine Sabbagh
وجيه شريف,Wajih Sharif
عثمان توفيق,Osman Tawfiq
محمد وفيق,Mohamed Wafik
سهير فهمى,Suheir Fahmy
إلهامي فايد,My inspiration is Fayed
محمد سلماوي,Mohamed Salmawy
إبراهيم حسنين,Ibrahim Hassanin
سالي (سالي جلال),Sally (Sally Galal)
عصام مصطفى,Essam Mustafa
كمال سرحان,Kamal Sarhan
نبوية البلتاجى,Prophetic Prophecy
محمود الشريف,Mahmoud El Sherif
صحبى امين,I accompanied Amin
عفاف بدر,Afaf Badr
محيى شكرى,My thanks
سليمان السكرى,Download
فاطمة سرحان,Fatima Sarhan
شوقى القناوى,Shawky El - Kenawy
محمد عبدالفتاح,Mohammad Abdulfattah
فؤاد حسني,Fouad Hosni
علي يوسف,Ali Yusuf
إنعام سالوسة,Inam Salousa
حكمت فؤاد,Hikmat Fouad
نادية جميل,Nadia is beautiful
أمل الصيفي,Amal Al-Saifi
محاسن الحلو ,Sweet Beauties
أحمد جمهورية,Ahmed Republic
أماني ناشد,Amani Nashid
ثريا عبدالوهاب,Thoraya Abdel Wahab
ممدوح زاهر,Mamdouh Zaher
أنيس طاهر,Anis Tahir
جمال الجداوي,Jamal Al Jeddawi
صافيناز الجندي,Safinaz Soldier
ابراهيم عاكف,Ibrahim Akef
فيليب عقيقي,Philip Akiki
محمود زريق,Mahmoud Zureik
سمير الغصيني,Samir Ghosaini
ليلى الشناوي,Laila Shenawi
محمد السيد,Mohamed El Sayed
ماري داود,Mary Dawood
عبدالرحمن علي,Abdul Rahman Ali
نعمت رستم,Nemat Rustam
صبري عبدالقادر,Sabri Abdelkader
منصور يوسف,Mansour Youssef
محمود الألفي,Mahmoud Al-Alfi
سالى وود,Sally Wood
بهاء عبدالحميد,Bahaa Abdul Hamid
ماجي,Maggie
حسن شفيق,Hassan Shafiq
محمد دسوقي,Mohamed Desouki
إبراهيم كمال,Ibrahim Kamal
سيد ياسين وفرقتة,Sayed Yassin and Farqata
زيزى بكير,Zizi Bakir
أحمد العدل,Ahmed Justice
نجيب سرور,Naguib Sorour
محمد أبو حشيش,Mohammed Abu Hashish
فتحي عبدالستار,Fathi Abdel-Sattar
